x=504, y=333..358
x=498, y=535..538
x=437, y=495..507
x=456, y=1154..1163
x=442, y=262..265
y=978, x=524..542
x=485, y=1728..1740
x=570, y=1078..1090
x=513, y=33..42
x=526, y=157..165
y=169, x=540..559
x=436, y=667..669
x=542, y=1308..1317
y=836, x=549..565
x=516, y=805..811
y=1642, x=550..569
x=517, y=158..165
y=828, x=446..457
x=467, y=1704..1723
y=1596, x=586..595
x=574, y=655..663
x=542, y=507..534
y=1427, x=480..494
x=556, y=386..395
x=589, y=1671..1698
x=436, y=942..954
x=416, y=1499..1510
x=558, y=16..29
x=460, y=124..126
y=737, x=518..534
y=304, x=531..557
x=543, y=180..189
x=526, y=1434..1447
y=811, x=505..507
y=776, x=474..499
y=1541, x=503..506
x=543, y=1349..1362
y=1654, x=422..432
x=513, y=1070..1072
y=288, x=480..500
x=551, y=1563..1570
x=543, y=1376..1380
x=499, y=1018..1045
x=547, y=1334..1336
y=1159, x=478..495
y=1276, x=539..546
x=435, y=336..349
y=322, x=554..572
y=1444, x=535..537
x=553, y=1482..1484
